Photonr.;site;subsite;facies;beddingsurface;m/Log;Nautiloids;Trilobites;Gastropods;Graptolites;inart Brachio;Brachiopods;Echinodermata;sponge spicules?;area;comments
104_317, 104_318;1;1;ms;irregular;PO_3;;1;;;;;;;3*3;
104_317, 104_318;1;2;ms;irregular;PO_3;;2;;;;1;;;3*3;
104_317, 104_318;1;3;ms;irregular;PO_3;2;3;;;;;;;3*3;
104_317, 104_318;1;4;ms;irregular;PO_3;;3;;;;1;;;3*3;
104_317, 104_318;1;5;ms;irregular;PO_3;;1;;;;;;;3*3;
104_319, 104_320;2;1;ms;irregular;PO_3;;1;;;;;;;3*3;
104_319, 104_320;2;2;ms;irregular;PO_3;;1;;;;;;;3*3;
104_319, 104_320;2;3;ms;irregular;PO_3;;;;;;;;;3*3;
104_319, 104_320;2;4;ms;irregular;PO_3;;;;;;;;;3*3;
104_321, 104_322;3;1;ms;irregular;PO_3.4;1;3;;1;;;;;2*2;
104_321, 104_322;3;2;ms;irregular;PO_3.4;;1;;;;2;;;2*2;
104_321, 104_322;3;3;ms;irregular;PO_3.4;;3;;;;1;;;2*2;
104_323, 104_324;4;1;ms;irregular;PO_3.75;1;;;;;;;;2*2;
104_323, 104_324;4;2;ms;irregular;PO_3.75;1;6;;;;;;;2*2;
104_323, 104_324;4;3;ms;irregular;PO_3.75;1;;;;;;;;2*2;
104_325, 104_326;5;1;ms;planar;PO_3.85;;1;;;;;;;3*3;
104_325, 104_326;5;2;ms;planar;PO_3.85;1;1;;;;;;;3*3;
104_325, 104_326;5;3;ms;planar;PO_3.85;;1;;;;;;;3*3;
104_325, 104_326;5;4;ms;planar;PO_3.85;;;;1;;;;;3*3;
104_325, 104_326;5;5;ms;planar;PO_3.85;;2;;2;;;;;3*3;
104_327, 104_328;6;1;ms;planar;PO_6.65;;;;;;;;;3*3;
104_327, 104_328;6;2;ms;planar;PO_6.65;;;;;;;;;3*3;
104_327, 104_328;6;3;ms;planar;PO_6.65;3;;;;;;;;3*3;
104_327, 104_328;6;4;ms;planar;PO_6.65;;;;;;;;;3*3;
104_329, 104_330;7;1;ms;planar;PO_6.65;;;;;;;;;3*3;
104_329, 104_330;7;2;ms;planar;PO_6.65;;;;;;;;;3*3;
104_329, 104_330;7;3;ms;planar;PO_6.65;1;;;;;;;;3*3;
104_329, 104_330;7;4;ms;planar;PO_6.65;;;;;;;;;3*3;
104_329, 104_330;7;5;ms;planar;PO_6.65;7;;;;;;;;3*3;
104_329, 104_330;7;6;ms;planar;PO_6.65;;;;;;;;;3*3;
104_329, 104_330;7;7;ms;planar;PO_6.65;1;;;;;;;;3*3;
104_329, 104_330;7;8;ms;planar;PO_6.65;;;;;;;;;3*3;
104_331, 104_332;8;1;ms;irregular;PO_8.5;13;;;;;;;;2*2;
104_331, 104_332;8;2;ms;irregular;PO_8.5;5;;;;;;;;2*2;
104_333;9;1;ms;irregular;PO_8.5;13;1;;;;;;;2*2;
104_333;9;2;ms;irregular;PO_8.5;12;;;;;;;;2*2;
104_334, 104_335;10;1;ms;irregular;PO_8.5;9;;;;;;;;2*2;
104_334, 104_335;10;2;ms;irregular;PO_8.5;6;;;;;;;;2*2;
104_336, 104_337;11;1;ms;irregular;PO_8.5;11;;;;;;;;2*2;
104_336, 104_337;11;2;ms;irregular;PO_8.5;5;;;;;;;;2*2;
104_338, 104_339;12;1;ms;planar;PO_13.2;;;;;;;;;2*2;
104_338, 104_339;12;2;ms;planar;PO_13.2;;;;;;;;;2*2;
104_338, 104_339;12;3;ms;planar;PO_13.2;;;;;;;;;2*2;
104_340, 104_341;13;1;ms;planar;PO_13.2;;1;;;;1;;;2*2;
104_340, 104_341;13;2;ms;planar;PO_13.2;;2;;;;;1;;2*2;
104_340, 104_341;13;3;ms;planar;PO_13.2;;1;;;;;;;2*2;
104_342, 104_343;14;1;shale;shale;PO_17.6;;;;4;;;;;3*3;
104_342, 104_343;14;2;shale;shale;PO_17.6;;3;;1;;;;;3*3;
104_342, 104_343;14;3;shale;shale;PO_17.6;;;;2;;;;;3*3;
104_342, 104_343;14;4;shale;shale;PO_17.6;;1;;;;;;;3*3;
104_342, 104_343;14;5;shale;shale;PO_17.6;;;;3;;;;;3*3;
104_342, 104_343;14;6;shale;shale;PO_17.6;;;;4;;;;;3*3;
104_342, 104_343;14;7;shale;shale;PO_17.6;;3;;2;;;;;3*3;
104_342, 104_343;14;8;shale;shale;PO_17.6;;;;5;;;;;3*3;
104_344, 104_345;15;1;shale;shale;PO_17.6;;;;;;;;;3*3;
104_344, 104_345;15;2;shale;shale;PO_17.6;;;;;;;;;3*3;
104_344, 104_345;15;3;shale;shale;PO_17.6;;1;;1;;;;;3*3;
104_344, 104_345;15;4;shale;shale;PO_17.6;;;;;;;;;3*3;
104_344, 104_345;15;5;shale;shale;PO_17.6;;2;;;;;;;3*3;
104_344, 104_345;15;6;shale;shale;PO_17.6;;1;;1;;;;;3*3;
104_344, 104_345;15;7;shale;shale;PO_17.6;;;;;;;;;3*3;
104_346, 104_347;16;1;shale;shale;PO_16.9;;2;;4;;2;;;3*3;
104_346, 104_347;16;2;shale;shale;PO_16.9;;3;;7;;;;;3*3;
104_346, 104_347;16;3;shale;shale;PO_16.9;;1;;1;;;;;3*3;
104_346, 104_347;16;4;shale;shale;PO_16.9;;;;2;;;;;3*3;
104_346, 104_347;16;5;shale;shale;PO_16.9;;1;;;;;;;3*3;
104_346, 104_347;16;6;shale;shale;PO_16.9;;1;;;;;;;3*3;
104_348, 104_349;17;1;shale;shale;PO_13.2;;1;;;;;;;3*3;
104_348, 104_349;17;2;shale;shale;PO_13.2;;2;;;;;;;3*3;
104_348, 104_349;17;3;shale;shale;PO_13.2;;;;5;;;;;3*3;
104_348, 104_349;17;4;shale;shale;PO_13.2;;1;;;;;;;3*3;
104_348, 104_349;17;5;shale;shale;PO_13.2;;1;;3;;;;;3*3;
104_348, 104_349;17;6;shale;shale;PO_13.2;;;;;;;;;3*3;
104_350, 104_351;18;1;shale;shale;PO_11.6;;;;;;;;;3*3;
104_350, 104_351;18;2;shale;shale;PO_11.6;;;;;;;;;3*3;
104_350, 104_351;18;3;shale;shale;PO_11.6;;;;;;;;;3*3;
104_350, 104_351;18;4;shale;shale;PO_11.6;;;;;;;;;3*3;
104_350, 104_351;18;5;shale;shale;PO_11.6;;;;1;;;;;3*3;
;19;1;;;PO_18;;1;;5;;;;;3*3;
;19;2;;;PO_18;;;;2;;;;;3*3;
;19;3;;;PO_18;;1;;;;;;;3*3;
;19;4;;;PO_18;;;;;;;;;3*3;
;19;5;;;PO_18;;;;;;;;;3*3;
104_352, 104_353;20;1;shale;shale;PO_20;;1;;1;;;;;3*3;
104_352, 104_353;20;2;shale;shale;PO_20;;3;;5;;;;;3*3;
104_352, 104_353;20;3;shale;shale;PO_20;;1;;15;;;;;3*3;
104_352, 104_353;20;4;shale;shale;PO_20;;;;10;;;;;3*3;
104_352, 104_353;20;5;shale;shale;PO_20;;;;13;;;;;3*3;
104_352, 104_353;20;6;shale;shale;PO_20;;;;2;;;;;3*3;
104_355;21;1;shale;shale;PO_28.5;;;;12;;;;;1*1;
;22;1;;;PO_28.5;;;;26;;;;;1*1;
104_356, 104_357;23;1;shale;shale;PO_29;;2;;;;;;;2*2;
104_356, 104_357;23;2;shale;shale;PO_29;;2;;4;;;;;2*2;
104_356, 104_357;23;3;shale;shale;PO_29;;5;;2;;;;;2*2;
104_359, 104_360;24;1;shale;shale;PO_29;;;;;;;;;3*3;
104_359, 104_360;24;2;shale;shale;PO_29;;;;2;;;;;3*3;
104_359, 104_360;24;3;shale;shale;PO_29;;;;;;;;;3*3;
104_359, 104_360;24;4;shale;shale;PO_29;;;;3;;;;;3*3;
104_359, 104_360;24;5;shale;shale;PO_29;;;;1;;;;;3*3;
104_361, 104_362;25;1;shale;shale;PO_31.5;;2;;3;;;;;2*2;
104_361, 104_362;25;2;shale;shale;PO_31.5;;;;13;;;;;2*2;
104_361, 104_362;25;3;shale;shale;PO_31.5;;4;;12;;;;;2*2;
104_363, 104_364;26;1;shale;shale;PO_31.5;;;;21;;;;;3*3;
104_363, 104_364;26;2;shale;shale;PO_31.5;;;;7;;;;;3*3;
104_363, 104_364;26;3;shale;shale;PO_31.5;;1;;9;;;;;3*3;
104_363, 104_364;26;4;shale;shale;PO_31.5;;1;;19;;;;;3*3;
104_363, 104_364;26;5;shale;shale;PO_31.5;;;;11;;;;;3*3;
104_363, 104_364;26;6;shale;shale;PO_31.5;;;;12;;;;;3*3;
104_365, 104_366;27;1;shale;shale;PO_73.9;;;;5;;;;;3*3;tectonic surface
104_365, 104_366;27;2;shale;shale;PO_73.9;;;;4;;;;;3*3;tectonic surface
104_365, 104_366;27;3;shale;shale;PO_73.9;;;;;;;;;3*3;tectonic surface
104_365, 104_366;27;4;shale;shale;PO_73.9;;;;15;;;;;3*3;tectonic surface
104_365, 104_366;27;5;shale;shale;PO_73.9;;;;2;;;;;3*3;tectonic surface
104_367;28;1;shale;shale;PO_77;;;;;;;;;3*3;tectonic surface
104_367;28;2;shale;shale;PO_77;;;;;;;;;3*3;tectonic surface
104_367;28;3;shale;shale;PO_77;;;;;;;;;3*3;tectonic surface
104_367;28;4;shale;shale;PO_77;;;;;;;;;3*3;tectonic surface
104_367;28;5;shale;shale;PO_77;;2;;;;;;;3*3;tectonic surface
104_368;29;1;shale;shale;PO_78.4;;4;;;;;;;2*2;
104_368;29;2;shale;shale;PO_78.4;;;;;;;;;2*2;
104_368;29;3;shale;shale;PO_78.4;;;;;;;;;2*2;
104_369, 104_370;30;1;ms;irregular;PO_95;6;;;;;;;9;3*3;
104_369, 104_370;30;2;ms;irregular;PO_95;1;2;;;;;;4;3*3;
104_369, 104_370;30;3;ms;irregular;PO_95;7;;;1;;;;2;3*3;
104_369, 104_370;30;4;ms;irregular;PO_95;1;;3;2;;;;7;3*3;
104_369, 104_370;30;5;ms;irregular;PO_95;5;;;;;;;;3*3;
104_371, 104_372;31;1;ms;irregular;PO_95.2;4;;;;;;;;3*3;
104_371, 104_372;31;2;ms;irregular;PO_95.2;5;;;;;;;;3*3;
104_371, 104_372;31;3;ms;irregular;PO_95.2;4;;;;;;;;3*3;
104_371, 104_372;31;4;ms;irregular;PO_95.2;6;;;;;;;;3*3;
104_373;32;1;ms;irregular;PO_95.7;;3;;;;;;;2*2;
104_373;32;2;ms;irregular;PO_95.7;;2;;;;;;;2*2;
104_373;32;3;ms;irregular;PO_95.7;;3;;;;;;;2*2;
