Photonr.;site;subsite;facies;section;ft/Log;Nautiloids;Trilobites;Gastropods;"Brachiopod
art";Crinoid;Echinoderm;Cystoid;sponge;area;comments;gps
;1;1;gs;HHJ;12;1;7;2;2;;;;1;3*3;very dusty surface, mostly covered with dust (not removable);
;1;2;gs;HHJ;12;;9;;2;;;;1;3*3;;
;1;3;gs;HHJ;12;;6;2;1;;;;1;3*3;;
;1;4;gs;HHJ;12;;9;1;;;;;;3*3;;
;1;5;gs;HHJ;12;1;2;1;2;;;;;3*3;;
;2;1;gs;HJ;12;;2;;;;5;;1;2*2;;
;2;2;gs;HJ;12;;3;;1;;5;;;2*2;;
;2;3;gs;HJ;12;;;;;;;;;2*2;abradet shelly material - indet;
;3;1;gs;HJ;35;;4;;1;;;;;2*3;;
;3;2;gs;HJ;35;;7;;;;;;;2*3;very silicified surface;
;3;3;gs;HJ;35;;7;;;2;;1;;2*3;very silicified surface;
;3;4;gs;HJ;35;1;6;;;;;1;2;2*3;very silicified surface;
;4;1;gs;HJ;34;;2;;;;;2;;2*2;;
;4;2;gs;HJ;34;;2;;;;;2;1;2*2;;
;4;3;gs;HJ;34;;5;;;;;1;;2*2;;
;5;1;gs;HJ;36;;2;;;;;4;;1*3;;
;5;2;gs;HJ;36;1;8;;;;;;;1*3;;
;5;3;gs;HJ;36;;1;;;;;;;1*3;;
;6;1;gs;HJ;54;1;1;;;1;;1;1;2*3;;
;6;2;gs;HJ;54;;7;;;2;;1;;2*3;;
;6;3;gs;HJ;54;;6;1;;1;;2;;2*3;;
;6;4;gs;HJ;54;;;;;3;;5;;2*3;;
;7;1;ws;HJ;250;;5;;1;;;7;;2*3;top wah wah fm;
;7;2;ws;HJ;250;1;6;;1;;;1;;2*3;;
;7;3;ws;HJ;250;;;;;;;2;;2*3;;
;7;4;ws;HJ;250;;6;;;3;;3;;2*3;;
;8;1;ws;HJ;249;;9;;;;;4;;3*3;;
;8;2;ws;HJ;249;;11;;1;2;;;;3*3;;
;8;3;ws;HJ;249;;5;;1;1;;2;;3*3;;
;8;4;ws;HJ;249;;3;;;;;2;;3*3;;
;8;5;ws;HJ;249;;1;;;3;;;;3*3;;
;9;1;ws;HJ;248,6;;5;;;1;;3;;2*3;;
;9;2;ws;HJ;248,6;;4;;;;;;1;2*3;;
;9;3;ws;HJ;248,6;;3;;;;;2;3;2*3;;
;9;4;ws;HJ;248,6;;;;;1;;2;;2*3;;
;10;1;ps;HJ;243;;10;;;8;;;;1*2;;
;10;2;ps;HJ;243;;4;;;6;;1;;1*2;;
;11;1;ws/ps;HJ;24;;4;;1;1;;10;;2*2;;
;11;2;ws/ps;HJ;24;;4;;6;1;;4;;2*2;;
;11;3;ws/ps;HJ;24;;4;;;;;8;;2*2;;
;11;4;ws/ps;HJ;24;2;4;;1;1;;9;;2*2;;
;12;1;ws;HJ;54;;3;;;1;;;;3*3;;
;12;2;ws;HJ;54;;;;;1;;;;3*3;;
;12;3;ws;HJ;54;;10;;1;;;5;;3*3;;
;12;4;ws;HJ;54;;4;;;2;;4;2;3*3;;
;12;5;ws;HJ;54;;12;;;1;;;;3*3;;
;13;1;ps;HJ;58;3;22;;1;;;1;;2*3;;
;13;2;ps;HJ;58;3;38;;;2;;2;;2*3;;
;13;3;ps;HJ;58;;22;;;8;;12;;2*3;;
;13;4;ps;HJ;58;1;18;1;;1;;2;;2*3;;
;14;1;ws;HJ;90;4;21;;2;5;;8;;3*3;;
;14;2;ws;HJ;90;2;11;;;7;;5;1;3*3;;
;14;3;ws;HJ;90;;23;;3;1;;5;;3*3;;
;14;4;ws;HJ;90;1;15;;;5;;11;;3*3;;
;14;5;ws;HJ;90;;10;;;;;32;;3*3;;
;15;1;ws;JUAB;95;;1;;3;;;5;;2*3;;
;15;2;ws;JUAB;95;;7;2;3;;;4;;2*3;;
;15;3;ws;JUAB;95;;2;;;;;7;;2*3;;
;15;4;ws;JUAB;95;;2;;;2;;2;;2*3;;
;16;1;ws/ps;HJ;145;;10;;;2;;1;;3*3;;
;16;2;ws/ps;HJ;145;;4;;;;;;;3*3;;
;16;3;ws/ps;HJ;145;;4;;;1;;;;3*3;;
;16;4;ws/ps;HJ;145;;1;;;;;1;;3*3;;
;16;5;ws/ps;HJ;145;;6;;;;;3;;3*3;;
;17;1;ws/ps;HJ;175;;3;;;;;;;3*3;extremely silicified & ironized;
